iter	Passed	Remaining
0	143	143599
1	144	72097
2	145	48229
3	146	36357
4	146	29219
5	147	24462
6	148	21056
7	149	18501
8	150	16517
9	150	14921
10	151	13665
11	152	12579
12	153	11648
13	154	10849
14	154	10156
15	155	9547
16	155	9017
17	156	8539
18	157	8113
19	157	7726
20	158	7376
21	158	7059
22	159	6771
23	159	6505
24	160	6260
25	161	6034
26	161	5825
27	162	5630
28	162	5449
29	163	5280
30	163	5122
31	164	4974
32	165	4838
33	166	4719
34	166	4601
35	167	4486
36	168	4376
37	168	4270
38	169	4171
39	169	4076
40	170	3985
41	170	3900
42	171	3817
43	172	3739
44	172	3665
45	173	3594
46	173	3526
47	174	3460
48	175	3396
49	175	3336
50	176	3279
51	176	3223
52	177	3170
53	178	3118
54	178	3068
55	179	3020
56	180	2979
57	181	2946
58	182	2904
59	182	2862
60	183	2820
61	183	2780
62	184	2741
63	184	2704
64	185	2668
65	186	2632
66	186	2598
67	187	2575
68	188	2547
69	189	2515
70	189	2485
71	190	2455
72	191	2425
73	191	2397
74	192	2369
75	192	2342
76	193	2316
77	193	2290
78	195	2274
79	195	2253
80	196	2230
81	197	2207
82	197	2184
83	198	2161
84	198	2139
85	199	2118
86	199	2097
87	200	2077
88	201	2061
89	202	2043
90	202	2025
91	203	2011
92	205	2003
93	206	1986
94	206	1970
95	209	1977
96	211	1968
97	212	1954
98	212	1938
99	213	1924
100	214	1912
101	215	1897
102	216	1884
103	217	1872
104	217	1857
105	218	1842
106	219	1828
107	219	1814
108	220	1800
109	220	1786
110	221	1772
111	221	1759
112	222	1746
113	223	1737
114	224	1729
115	225	1719
116	226	1708
117	227	1698
118	227	1686
119	228	1675
120	228	1661
121	229	1650
122	229	1638
123	230	1627
124	230	1616
125	231	1605
126	232	1595
127	232	1585
128	233	1575
129	233	1564
130	234	1554
131	234	1544
132	235	1535
133	236	1525
134	236	1515
135	237	1507
136	238	1503
137	239	1495
138	240	1487
139	240	1479
140	242	1475
141	243	1468
142	243	1461
143	244	1453
144	245	1444
145	245	1436
146	246	1428
147	246	1420
148	247	1412
149	247	1404
150	248	1397
151	249	1389
152	249	1381
153	250	1374
154	250	1366
155	251	1359
156	252	1354
157	254	1354
158	254	1348
159	255	1342
160	256	1336
161	256	1329
162	257	1322
163	258	1315
164	258	1308
165	259	1301
166	259	1295
167	260	1289
168	260	1282
169	261	1276
170	262	1270
171	262	1263
172	263	1257
173	263	1251
174	264	1245
175	264	1239
176	265	1233
177	265	1227
178	267	1224
179	267	1220
180	268	1216
181	269	1212
182	270	1207
183	271	1203
184	272	1199
185	272	1194
186	273	1189
187	274	1183
188	274	1178
189	275	1173
190	275	1168
191	276	1162
192	276	1157
193	277	1152
194	277	1147
195	278	1142
196	279	1137
197	279	1132
198	280	1127
199	280	1123
200	282	1121
201	283	1117
202	283	1113
203	284	1108
204	284	1104
205	285	1099
206	285	1094
207	286	1090
208	286	1085
209	287	1081
210	288	1077
211	288	1072
212	289	1068
213	289	1064
214	290	1059
215	290	1055
216	291	1051
217	291	1047
218	292	1043
219	292	1038
220	293	1034
221	294	1030
222	294	1026
223	295	1022
224	296	1022
225	297	1020
226	298	1017
227	299	1013
228	299	1009
229	300	1005
230	301	1002
231	301	998
232	302	995
233	302	991
234	303	987
235	303	984
236	304	980
237	305	976
238	305	973
239	306	969
240	306	965
241	307	962
242	307	958
243	308	955
244	308	951
245	309	948
246	310	947
247	311	945
248	312	943
249	313	940
250	314	937
251	315	935
252	315	932
253	316	929
254	317	926
255	317	923
256	318	919
257	318	916
258	319	913
259	319	910
260	320	907
261	320	904
262	321	900
263	322	897
264	322	894
265	323	891
266	323	889
267	324	886
268	325	885
269	326	883
270	327	880
271	327	877
272	328	874
273	328	871
274	329	868
275	330	865
276	330	862
277	331	859
278	331	857
279	332	854
280	332	851
281	333	848
282	334	846
283	334	844
284	335	841
285	335	838
286	336	836
287	337	833
288	337	830
289	338	828
290	338	825
291	339	823
292	340	822
293	341	820
294	342	819
295	343	816
296	344	814
297	344	812
298	345	809
299	345	806
300	346	804
301	346	801
